blocks,threads,blocks_times_threads,total_time,inst_per_warp,global_hit_rate,local_hit_rate,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,ipc,sm_efficiency,fb_subp0_read_sectors,fb_subp1_read_sectors,fb_subp0_write_sectors,fb_subp1_write_sectors,l2_subp0_write_sector_misses,l2_subp1_write_sector_misses,l2_subp0_read_sector_misses,l2_subp1_read_sector_misses,l2_subp0_read_tex_sector_queries,l2_subp1_read_tex_sector_queries,l2_subp0_write_tex_sector_queries,l2_subp1_write_tex_sector_queries,l2_subp0_read_tex_hit_sectors,l2_subp1_read_tex_hit_sectors,l2_subp0_write_tex_hit_sectors,l2_subp1_write_tex_hit_sectors,l2_subp0_total_read_sector_queries,l2_subp1_total_read_sector_queries,l2_subp0_total_write_sector_queries,l2_subp1_total_write_sector_queries,elapsed_cycles_sm,generic_load,generic_store,global_load,global_store,local_load,local_store
2,8,16,35.091707,8683570.0,0.6540000000000001,98.83700000000002,28.696999999999996,99.98200000000001,99.958,12.557,3.79,18.145,63.96,17.669999999999998,0.242732,2.5,28.0,208.0,66.6,156.9,65.4,68.0,31.2,31.2,37164.3,51720.9,2411636.0,2297317.8,33857.9,55036.9,2396889.3,2310045.4,40860.9,54674.5,2407137.8,2300580.6,5392168103.2,577501.6,3775972.0,11107.8,33.0,1421344.0,932840.0
4,16,64,5.473564999999999,3159494.0,1.637,98.81200000000001,28.635,99.96,99.987,12.499999999999998,3.79,18.182999999999996,63.798,17.786,0.2424211,4.988000000000001,41.8,116.8,269.9,490.2,275.7,290.5,51.4,51.6,23422.2,29537.5,1526242.0,1460947.8,25107.6,27842.8,1517214.4,1467007.2,27576.4,29587.9,1516395.6,1469973.0,856854781.2,182884.0,1195780.0,3521.0,33.0,450374.4,295745.2
64,8,512,1.116611,175226.2,1.3450000000000002,98.36799999999998,28.445,99.638,99.57000000000001,12.536,3.79,17.361999999999995,63.986000000000004,18.261999999999997,0.24227949999999998,77.975,36.1,37.4,7443.7,10354.4,7518.4,7555.1,43.3,44.4,26554.7,34662.3,1588177.8,1572796.0,26748.9,34476.7,1583285.2,1576443.0,29397.9,37577.1,1590734.1,1581570.3,112876124.0,387909.6,2536332.0,7523.8,33.0,953875.2,629287.6
64,2,128,4.024266,1826329.3,0.5090000000000001,98.61899999999999,28.619,97.98499999999999,99.91799999999999,12.553,3.79,16.525,64.79499999999999,18.380000000000003,0.2448438,79.26399999999998,1841.1,2537.2,11223.6,12494.4,11287.9,11263.4,1854.6,1840.3,84095.9,109077.9,5092031.0,5061593.2,83252.3,108696.8,5105457.7,5050848.4,86866.7,112321.2,5100778.0,5064390.7,358984690.8,1244760.4,8138818.0,24001.7,33.0,3065184.0,2014834.0
1,1,1,618.118,182175770.0,0.2869999999999999,98.83900000000001,28.71,99.96900000000001,99.999,12.5,3.79,15.522,66.104,18.143,0.24887069999999997,1.25,89.8,222.6,161.0,172.2,161.9,164.7,75.8,81.0,225482.9,336561.4,14874085.0,14912848.0,258868.9,303151.7,14736269.7,15050622.9,277668.6,329485.6,14796799.5,14990182.7,66486389829.8,3653104.0,23885680.0,70253.0,33.0,8992288.0,5901220.0
16,8,128,4.769838,2045324.0,0.9,98.748,28.48,100.19800000000001,99.809,12.394,3.79,18.071999999999996,63.926,17.749,0.24242310000000003,19.912,91.6,129.6,4521.0,779.7,4623.1,4448.9,115.2,110.0,47417.5,63758.6,2951234.4,2937973.0,48791.2,62531.9,2953245.6,2919708.1,52545.0,65793.7,2972795.7,2909008.7,842343205.6,720850.0,4713250.0,13878.5,33.0,1773203.2,1164475.6
2,1,2,330.26590000000004,83890433.0,0.9270000000000002,98.83700000000002,28.706,99.903,99.966,12.378,3.79,18.122000000000003,63.899,17.752999999999997,0.242706,2.5,34.0,82.8,315.9,340.1,294.0,274.2,26.8,29.4,161912.3,245322.9,10966986.0,10622467.8,160829.3,246626.9,10945870.9,10648794.0,180576.9,246805.4,11139964.8,10452193.0,24704455771.4,2647169.2,17308414.0,50909.1,33.0,6514988.8,4275544.4
2,256,512,2.154627,409836.0,1.9309999999999998,97.33600000000001,27.910999999999994,100.283,99.56899999999999,12.229000000000001,3.79,4.699,31.101999999999997,16.194,1.0868477,2.4910000000000005,12.0,52.0,23.2,525.2,29.0,13.6,14.4,14.4,69559.8,64838.5,2883796.0,2958893.0,68530.4,64095.1,2882268.8,2957197.8,70163.0,65427.6,2882794.2,2957979.5,372137693.4,179379.2,1172864.0,3465.6,33.0,442694.4,291329.2
16,16,256,3.062062,736229.4,3.0770000000000004,98.63999999999999,28.639,99.526,99.54300000000002,12.411999999999999,3.79,18.580000000000002,63.165,17.943,0.24023850000000002,19.715999999999998,41.2,65.4,4085.3,3161.0,4229.4,4079.5,53.8,51.2,28404.4,32530.6,1719041.6,1700265.0,28124.8,32960.6,1718275.4,1697063.0,31255.0,35513.0,1717634.0,1698666.2,245924219.6,209476.8,1369656.0,4044.4,33.0,514438.4,338411.2
32,4,128,5.043887,2265543.0,0.304,98.803,28.721000000000004,99.092,99.912,12.418,3.79,16.627,65.194,17.923000000000002,0.2460171,39.893,1019.4,950.7,6667.6,8116.8,6368.7,6462.0,1045.0,1030.8,44866.3,58022.3,2728708.8,2693870.6,44317.4,58104.5,2714735.9,2701564.5,47659.2,61134.8,2716379.2,2703495.6,384040476.8,665376.4,4350538.0,12827.7,33.0,1633376.0,1073546.0
32,32,1024,0.609578,188040.5,3.35,98.08600000000001,28.557,99.44,99.618,12.438,3.79,17.415,61.754999999999995,18.003999999999998,0.23568300000000003,38.711,16.0,48.5,7419.6,7392.7,7583.0,7540.4,16.9,17.2,26898.0,29114.8,1561728.8,1549488.2,26692.2,29532.7,1555802.8,1541866.6,29518.4,31987.3,1564235.6,1554935.1,57430230.0,95227.6,622642.0,1863.3,33.0,234374.4,155451.2
16,128,2048,0.39333169999999995,57850.68000000001,4.514,97.34600000000002,28.196999999999996,100.415,100.93099999999998,12.697,3.79,13.155000000000001,40.136,14.236,0.6687277,18.175,32.0,28.0,10972.6,396.8,11585.6,11391.6,48.8,48.4,38705.0,41503.4,2258624.0,2245729.0,38236.4,40985.1,2256318.4,2243413.8,41158.4,44068.0,2257856.5,2244920.1,57448676.2,137685.6,900252.0,2711.8,33.0,339027.2,225793.6
4,2,8,115.7932,18108394.0,0.45,98.83200000000002,28.748,100.07000000000001,100.19200000000001,12.489999999999998,3.79,18.112000000000002,63.88099999999999,17.782999999999998,0.24254179999999997,4.997000000000001,229.9,204.8,785.5,875.2,850.2,797.0,260.0,260.9,204034.5,262315.1,12618406.8,12088144.6,202869.3,262534.0,12476871.6,12217161.6,206539.3,276994.7,12536453.7,12160693.8,14153926649.4,3027018.8,19792046.0,58215.9,33.0,7460064.0,4895854.0
32,1,32,25.585338,8522334.0,0.203,98.80600000000001,28.637999999999998,99.82899999999998,99.94300000000001,12.546999999999999,3.79,16.587,65.184,17.978,0.24627530000000003,39.93,663.3,1139.9,6463.0,9951.6,6514.0,6319.6,721.4,731.3,176053.4,229553.9,10767193.8,10702810.4,175582.2,229833.9,10775190.6,10634431.2,178184.8,233202.5,10729898.0,10687580.2,1514116516.6,2632089.2,17209814.0,50649.1,33.0,6477612.8,4252576.4
64,16,1024,0.31477220000000006,201467.4,2.8280000000000003,97.86,28.72,98.70500000000001,99.391,12.140000000000002,3.79,17.712,60.403999999999996,18.054,0.23067620000000005,75.90599999999999,36.0,35.9,15511.4,12790.7,15402.9,15289.9,50.4,48.2,23304.4,27038.8,1348006.8,1337259.8,23341.8,26995.4,1347671.6,1342326.6,26011.6,29706.9,1353787.6,1342659.0,50179482.4,164834.8,1077766.0,3233.9,33.0,405945.6,269708.8
64,1,64,6.07966,2296503.6,0.29100000000000004,98.71400000000001,28.795000000000005,98.86800000000001,100.055,12.523,3.79,16.48,65.056,18.191,0.2457983,79.61099999999999,2821.3,1609.1,17105.3,8430.6,16827.4,16682.6,2913.9,2892.3,113578.5,147285.9,6886937.0,6835495.2,111993.5,147717.5,6880640.6,6839586.0,116042.0,150606.1,6890200.8,6855807.8,485418404.2,1684961.2,11017054.0,32467.1,33.0,4149702.4,2726549.2
4,64,256,3.4179759999999995,678347.8,5.266,98.73499999999999,28.582000000000004,100.71,99.914,12.366999999999999,3.79,15.619,54.284000000000006,15.648000000000001,0.42659650000000005,4.943,9.2,18.0,531.3,698.3,611.8,589.9,17.2,17.6,19451.6,21313.4,1187467.2,1161833.0,19278.4,21385.4,1190760.8,1158151.4,21085.6,23268.4,1187252.8,1162545.2,191365671.8,71999.2,470764.0,1392.6,33.0,177312.0,116756.0
1,64,64,9.057382,3244966.0,4.275,98.80600000000001,28.737000000000002,100.26899999999999,99.968,12.5,3.79,13.072,56.150999999999996,15.787,0.4390257,1.251,34.4,54.8,60.0,22.0,55.4,57.6,44.0,41.6,19042.6,23735.4,1262356.0,1231213.0,18673.6,24068.0,1262498.0,1230869.0,18980.4,25024.2,1262269.2,1231324.8,788601893.2,76440.0,499800.0,1472.0,33.0,188192.0,123584.0
2,128,256,3.4295919999999995,1057655.0,1.7900000000000003,98.81500000000003,28.691000000000003,99.405,100.051,12.43,3.79,11.457,42.385000000000005,12.849,0.699774,2.498,51.8,48.4,111.5,376.7,120.4,120.0,64.2,61.6,27894.2,31962.6,1753521.6,1713442.6,27808.0,31868.8,1753521.6,1713442.6,28754.8,32857.8,1753562.0,1713471.4,344503340.8,106225.6,694552.0,2050.8,33.0,261561.6,172044.8
2,64,128,8.182218,1179168.0,3.474,98.78600000000002,28.728,99.67699999999999,99.98000000000002,12.445,3.79,15.391,54.60999999999999,15.537,0.42899639999999994,2.497,91.6,18.0,154.4,251.4,142.4,127.0,101.6,98.4,42145.2,56448.2,2923066.4,2825203.4,44906.8,53627.8,2912784.4,2835775.8,46400.2,56185.4,2912468.5,2835849.9,929529363.0,176196.8,1152056.0,3392.4,33.0,433670.4,284783.2
64,32,2048,0.3977524,52339.840000000004,7.351999999999999,94.00699999999999,26.669999999999998,100.352,95.846,12.853,3.79,18.203000000000003,51.028,19.523,0.198061,71.16100000000002,1.2,11.6,15550.1,14668.6,15652.6,15516.7,2.1,2.6,32453.2,35178.4,1830673.6,1819065.0,32371.0,35248.2,1823565.2,1810506.6,35395.4,38076.5,1839339.6,1823781.1,36628569.6,111290.4,727668.0,2204.2,33.0,274156.8,183222.4
