blocks,threads,blocks_times_threads,total_time,inst_per_warp,global_hit_rate,local_hit_rate,tex_cache_hit_rate,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,ipc,sm_efficiency,l2_subp0_write_sector_misses,l2_subp1_write_sector_misses,l2_subp0_read_sector_misses,l2_subp1_read_sector_misses,l2_subp0_read_tex_sector_queries,l2_subp1_read_tex_sector_queries,l2_subp0_write_tex_sector_queries,l2_subp1_write_tex_sector_queries,l2_subp0_read_tex_hit_sectors,l2_subp1_read_tex_hit_sectors,l2_subp0_write_tex_hit_sectors,l2_subp1_write_tex_hit_sectors,l2_subp0_total_read_sector_queries,l2_subp1_total_read_sector_queries,l2_subp0_total_write_sector_queries,l2_subp1_total_write_sector_queries,elapsed_cycles_sm,generic_load,generic_store,global_load,global_store,local_load,local_store
2,128,256,38.91177999999999,607357.8,75.0,50.001,49.99499999999999,12.501999999999999,3.79,10.950999999999999,29.233000000000004,50.717000000000006,0.5129153000000001,99.759,44.4,3.0,18448.2,128.4,369360.8,357078.9,654879.4,578489.6,369008.0,355369.2,655373.8,553279.6,383907.5,357530.1,654866.4,578442.2,7361140.8,70855.2,43603.2,1370.6,33.0,87257.6,133860.2
2,64,128,47.20389999999999,2259196.0,75.0,50.001,50.07899999999999,12.465,3.79,13.364,27.401,50.678999999999995,0.2657287,99.87,47.9,0.0,30586.5,0.0,292998.0,357698.4,558739.4,543680.8,335522.4,313630.0,621996.2,480785.6,348679.7,325137.2,612262.8,490549.0,12746143.6,63356.8,38988.8,1222.4,33.0,78163.2,119786.4
64,32,2048,7.1437100000000004,58110.369999999995,75.0,50.004999999999995,48.417,12.157,3.79,8.111,25.079,46.564,1.4390482,97.71400000000001,156376.8,143325.1,10577.8,2926.9,389488.6,385137.0,672895.0,652201.2,385424.8,382560.8,670383.4,26446.0,393861.9,384261.9,676649.6,655799.0,2473904.8,75665.2,46563.2,1519.1,33.0,93036.8,144781.6
80,64,5120,12.367529999999999,34755.33,75.0,50.0,49.72399999999999,12.354,3.79,7.775999999999999,24.502000000000002,51.626999999999995,1.5672808,99.751,243763.2,223165.7,15400.0,4412.4,609443.0,602658.4,1050737.8,1017732.8,602401.2,597756.8,1053946.6,1407382.0,615585.7,600516.4,1051787.2,1019425.4,3869475.2,117967.2,72595.2,2428.6,33.0,145555.2,228752.4
32,2,64,78.66902000000002,913090.0,0.0,0.004285714285714286,1.3557142857142854,12.454285714285714,3.7899999999999996,9.478571428571428,24.594285714285718,50.09285714285714,1.8797177142857144,99.92714285714284,549680.0,506053.6,172090.2,49858.3,1358980.7,1359796.7,2328651.5,2256568.7,1327807.1,1331329.3,2334348.8,3842665.8,1406380.4,1356592.6,2334674.6,2262350.2,30480862.0,1058392.4,651318.4,20385.7,33.0,1298534.4,1989515.8
1,256,256,19.799886,993085.8,75.0,50.001,49.997,12.461000000000002,3.79,7.321000000000001,30.113999999999997,48.062999999999995,0.9542812999999999,49.958999999999996,43.1,0.0,28011.8,0.0,513356.4,568167.9,948974.6,886277.6,513249.6,565918.4,949065.8,886367.2,534369.5,568787.5,948684.4,885965.0,11727041.4,105492.4,64918.4,2036.7,33.0,129894.4,199147.8
80,128,10240,8.663720000000001,25372.59,75.0,50.0,50.148,12.343,3.79,7.638,24.102,51.794000000000004,1.5247879000000002,99.86600000000001,309793.5,283810.9,19214.3,5578.9,765805.4,757408.2,1346152.6,1304489.2,760412.4,754781.2,1334466.2,1181104.0,779134.8,760309.6,1338930.4,1297729.4,4922816.6,149198.4,91814.4,3189.2,33.0,182892.8,291845.6
64,128,8192,12.33847,18581.410000000003,75.0,50.0,50.19799999999999,12.467,3.79,7.665000000000001,24.973000000000003,50.446,1.5718142,99.826,257409.4,236656.1,15715.5,4731.6,642491.2,635585.0,1115635.8,1081850.8,635588.0,631011.2,1119961.8,535298.0,646276.6,631681.1,1118107.2,1083025.4,4179683.4,124321.6,76505.6,2646.8,33.0,153465.6,244417.2
32,16,512,15.655170000000002,323590.3,50.0,50.0,50.129999999999995,12.522,3.79,9.344000000000001,25.426000000000002,49.07,1.867593,99.785,129226.7,118920.5,11380.9,3627.7,323184.6,320830.7,556266.4,539070.6,321380.8,319078.2,557211.0,532111.0,331960.1,322606.5,555704.8,538532.3,3561283.2,125517.6,77241.6,2445.8,33.0,154393.6,237550.2
2,2,4,239.46097,35277783.333333336,0.0,0.0016666666666666668,0.030000000000000002,12.521666666666667,3.7899999999999996,16.86,27.288333333333338,47.836666666666666,0.13451333333333332,99.99833333333333,44.3,0.0,350004.7,0.0,1021042.7,790966.9,1406596.6,1649437.2,838325.8,960031.9,1757779.0,1298074.0,1159565.1,973781.4,1406610.0,1649453.8,281000705.0,703695.2,433043.2,13534.6,33.0,865465.6,1325269.2
